RANK;ATHLETE;NATION;Manama A;Riga A;San Salvador A;Luxembourg A;Heraklion A;Udine A;Šabac A;Bâle A;Dubai CHZ;Lagos CHZ;Sochi CHZ;San-Jose CHZ;Verona CHM;TOTAL
118;CHENG Hao-Wen;TPE;;;;;;;;;12.00;;;;;12.00
120;DONATO Alvaro;BRA;;;;;;;;;;;;12.00;0.00;12.00
121;SEKONGO Paul Salomon;CIV;;;;;;;;;;12.00;;;;12.00
122;WAGNER Edwin;RSA;;;;;;;;;;12.00;;;;12.00
123;CANZONERI Davide;ITA;;8.00;;2.00;;2.00;;;;;;;;12.00
124;OURO-AGORO Al Yacine;TOG;;;;;;;;;;12.00;;;;12.00
125;FOFANA Abraham Mohamed Yacine;CIV;;;;;;;;;;12.00;;;;12.00
126;ELANGBAM Dinikumar Singh;IND;;;;;;;;;12.00;;;;;12.00
126;SINCLAIR Emil;RSA;;;;;;;;;;12.00;;;;12.00
126;TABASTA Gabriel;VEN;;;;;;;;;;;;12.00;;12.00
129;TROUMP Maxime;FRA;;4.00;;2.00;2.00;4.00;0.00;;;;;;;12.00
130;ALEXANDERSEN Nicolaj;DEN;4.00;;;1.00;;1.00;;;;;3.00;;2.50;11.50
131;VILLALOBOS Felipe;CRC;;;8.00;;;;;;;;;3.00;;11.00
132;SON Minseong;KOR;;;;;;;;;6.00;;;;5.00;11.00
133;SAURI Leandro;MEX;;;;;;;;;;;;6.00;5.00;11.00
134;POSTMA Randy;NED;;;;4.00;;2.00;;0.00;;;;;5.00;11.00
135;DERKSEN Ruben;NED;;;;1.00;;;;;;;;;10.00;11.00
136;REZAEI Mohammad;IRI;;;;;;;;;6.00;;;;5.00;11.00
137;CALDERON Diego;ESP;;1.00;;2.00;2.00;4.00;;;;;1.50;;;10.50
138;ELIASSEN Ferdinand;NOR;;2.00;;;1.00;0.00;2.00;0.00;;;3.00;;2.50;10.50
139;RAULO Aurelien;FRA;;0.00;;;;;8.00;2.00;;;;;;10.00
140;FISCHER Artur;GER;;;;0.00;;2.00;;8.00;;;;;0.00;10.00
141;OSPINA PEREZ Nicolas;CRC;;;4.00;;;;;;;;;6.00;;10.00
142;CLERCX Robin;BEL;;2.00;;4.00;0.00;;0.00;1.00;;;3.00;;0.00;10.00
143;WECKERLE Tobias;GER;;2.00;;;2.00;1.00;1.00;1.00;;;3.00;;;10.00
144;KALUZINSKI Tomasz;POL;;;;2.00;0.00;;0.00;0.00;;;3.00;;5.00;10.00
145;BRYKNER Matyas;CZE;;;;0.00;;0.00;;8.00;;;1.50;;0.00;9.50
146;HERBST Isaac;USA;;;;;1.00;;8.00;;;;;;;9.00
147;CINI Alessandro;ITA;;2.00;;1.00;4.00;2.00;;;;;;;;9.00
148;CHINGAKHAM Jetlee Singh;IND;4.00;;;;;;;;;;;;5.00;9.00
149;JEONG Seyun;KOR;;;;;;;;;6.00;;;;2.50;8.50
150;BIGEA Mihai;ROU;;;;;0.00;;0.00;;;;6.00;;2.50;8.50
151;YATES Domenic;AUS;;;;;;0.00;0.00;;6.00;;;;2.50;8.50
152;BALLIVIAN Jose Fernando;BOL;;;8.00;;;;;;;;;0.00;;8.00
153;LOPEZ GONZALEZ Keven Steven;NCA;;;8.00;;;;;;;;;;;8.00
154;SMITH William;USA;;;8.00;;;;;;;;;;;8.00
155;CASCO Jose;PAR;;;8.00;;;;;;;;;;0.00;8.00
156;BONGARD Louis;GER;;0.00;;8.00;0.00;0.00;0.00;;;;;;;8.00
157;LEI Joshua;USA;;;8.00;;;;;;;;;;;8.00
158;CHOTIN Titouan;FRA;;;;;;4.00;;4.00;;;;;;8.00
159;FERNANDEZ PEREZ Javier;ESP;;1.00;;;1.00;4.00;0.00;2.00;;;0.00;;;8.00
160;BELOZEROV Mikhail;RUS;;;;;;4.00;;4.00;;;;;;8.00
161;MANZONI Sergio;ITA;;4.00;;;2.00;1.00;;1.00;;;;;;8.00
162;ARNAULT Louis-Edouard Lai;MAS;4.00;0.00;;1.00;0.00;0.00;;0.00;3.00;;;;0.00;8.00
163;BELIANINOV Daniil;RUS;;2.00;;0.00;2.00;4.00;0.00;;;;;;;8.00
164;POZZI Stefano;SUI;2.00;0.00;;2.00;2.00;0.00;;2.00;;;;;;8.00
165;OPREA Mihail;ROU;;0.00;;;;;0.00;;;;3.00;;5.00;8.00
166;LYMANSKYI Pavlo;UKR;;1.00;;;2.00;;0.00;2.00;;;3.00;;0.00;8.00
167;GEITUNG Tomas;NOR;;0.00;;;1.00;;2.00;2.00;;;;;2.50;7.50
168;EKENLER Hilmi Taha;TUR;2.00;;;0.00;0.00;;;;;;3.00;;2.50;7.50
169;BALCAR Josef;CZE;;2.00;;4.00;0.00;1.00;;0.00;;;0.00;;0.00;7.00
170;MCINTOSH Sadler;CAN;;;;1.00;;;0.00;;;;;6.00;;7.00
171;HOVIKYAN Eduard;ARM;4.00;;;;;;;;;;3.00;;0.00;7.00
172;JORDAN Rene;GER;;1.00;;4.00;0.00;;1.00;1.00;;;;;;7.00
173;GREBENNIKOV Sergey;RUS;;2.00;;;1.00;2.00;2.00;;;;;;;7.00
174;FAVRE Hadrien;SUI;;;;2.00;;1.00;0.00;1.00;;;3.00;;;7.00
175;BIRKENMAIER Marco;GER;;2.00;;2.00;1.00;0.00;0.00;2.00;;;;;;7.00
176;EWART Stephen;USA;;;;;2.00;;;;;;;;5.00;7.00
177;KARYCHENKO Maksym;UKR;;2.00;;;1.00;;0.00;1.00;;;3.00;;0.00;7.00
178;GONELL Gerard;ESP;;2.00;;;2.00;0.00;0.00;0.00;;;3.00;;;7.00
179;MORRIS George;GBR;;2.00;;1.00;;0.00;1.00;0.00;;;3.00;;;7.00
