RANK;ATHLETE;NATION;San Salvador A;Riga A;Luxembourg A;Heraklion A;Tokyo A;Manama A;Belgrade A;Bâle A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
181;ESCALANTE RAMIREZ Moises Eduardo;ESA;8.00;;;;;;;;;;;;;8.00
181;KANADA Kazuki;JPN;;;;;8.00;;;;;;;;;8.00
183;ESPINOZA SOMOZA Celso Evenir;NCA;8.00;;;;;;;;;;;;;8.00
184;UTSUGI Yuki;JPN;;;;0.00;8.00;;;;;;;;;8.00
185;ESCOBAR Yembi;GUA;8.00;;;;;;;;;;;;;8.00
186;BELSELAH Khalid;UAE;;;;;;8.00;;;;;;0.00;0.00;8.00
187;SITO Jian Tong;SGP;;;;;8.00;;;;;;;;;8.00
188;MESFER Abdulkareem Abdulla;BRN;;;;;;8.00;;;;;;;;8.00
189;ALIEV Khalid;AZE;;0.00;;1.00;;4.00;0.25;;;1.50;;;1.25;8.00
190;LAU Ho Fung;HKG;;;;;;;;;;;;3.00;5.00;8.00
191;FEDOROV Roman;RUS;;4.00;0.25;0.50;;;2.00;1.00;;;;;;7.75
192;LOMBANA MARTINEZ Simon;COL;;;0.00;;;;0.25;;;;6.00;;1.25;7.50
193;MORRISON Dylan;GBR;;;0.50;4.00;;;0.25;1.00;;1.50;;;0.00;7.25
194;ALTAWEEL Hussain;KSA;;;;;;4.00;;;;;;3.00;;7.00
195;HUSSIEN Saad;IRQ;;;;;;4.00;;;;;;3.00;;7.00
196;AL ATTABI Mostafa;IRQ;;;;;;4.00;;;;;;3.00;;7.00
197;SERNADAS Tomas;POR;;0.25;0.00;;;;2.00;0.00;;3.00;;;1.25;6.50
198;NOGANOWICZ Karol;POL;;0.50;2.00;;;;1.00;0.50;;;;;2.50;6.50
199;BRUNET Nathan;CAN;;;0.25;;;;;;;;6.00;;;6.25
200;PIACHYNSKI Uladzislau;BLR;;4.00;;;;;1.00;;;0.00;;;1.25;6.25
201;RYKUNOU Dzmitry;BLR;;1.00;;;;;0.25;;;;;;5.00;6.25
202;MARKOTA Vedran;CRO;;;;;;;2.00;;;3.00;;;1.25;6.25
203;JUTILA Julius;FIN;;0.25;1.00;0.00;;;2.00;;;3.00;;;0.00;6.25
204;GANDON Bi Boukalo Dial Robert;SEN;;;;;;;;;6.00;;;;;6.00
205;NGUINDA Pierre Landry;CMR;;;;;;;;;6.00;;;;;6.00
206;RESTREPO GARCIA Kevin Andres;COL;;;;;;;;;;;6.00;;;6.00
206;MEJRI Rayen;TUN;;;;;;;;;6.00;;;;;6.00
208;SHEUM Bron;SGP;;;0.00;0.00;0.00;;;;;;;6.00;;6.00
209;PEREZ CONTRERAS Ignacio;ARG;;;;;;;;;;;6.00;;;6.00
209;FEMI-ADENIYI Oladipupo;NGR;;;;;;;;;6.00;;;;;6.00
209;GUEYE Serigne Saliou;SEN;;;;;;;;;6.00;;;;;6.00
212;INOUE Takatomi;JPN;;2.00;;;4.00;;;;;;;;;6.00
213;PEREZ Reynaldo Jr.;PHI;;;;;;;;;;;;6.00;0.00;6.00
214;MIZRACHI Jaime;PAN;;;;;;;;;;;6.00;;;6.00
215;CABALLERO Luis;VEN;;;;;;;;;;;6.00;;;6.00
215;SUAREZ SANTIUSTE Yordano De La Caridad;CUB;;;;;;;;;;;6.00;;;6.00
215;KANANI Ahmad Reza;IRI;;;;;;;;;;;;6.00;;6.00
218;WU Chun-Ming;TPE;;;;;;;;;;;;6.00;;6.00
219;ESPINOZA SANTARIA Renan Andres;PER;;;;;;;;;;;6.00;;;6.00
220;CASTILLO GUTIERREZ Juan Andres;COL;;;;;;;;;;;6.00;;;6.00
220;RAHI Marc;LBN;;;;;;;;;;;;6.00;;6.00
222;LI Ching Ho;HKG;;;2.00;;4.00;;;;;;;;;6.00
223;BELOT Antoine;GBR;;4.00;0.25;1.00;;;0.25;0.50;;0.00;;;0.00;6.00
224;GARCIA Guillermo;BOL;;;;;;;;;;;6.00;;0.00;6.00
225;HAN Elliot Yi Heng;SGP;;;;0.00;0.00;;;;;;;6.00;0.00;6.00
