RANK;ATHLETE;NATION;Bratislava A; Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Anadia A;Pretoria CHZ;Lobnya CHZ;Isla Margarita CHZ;Mer Morte CHM;TOTAL
155;MELLANEN Rasmus;FIN;0.00;4.00;;;;0.00;2.00;;;;;;6.00
156;REGOLF Joan Ramon;ESP;;;;0.00;4.00;0.00;;2.00;;;;;6.00
157;KIENTZLE Jens;GER;;;;4.00;2.00;0.00;;;;;;;6.00
158;SERES Adam;HUN;2.00;;;0.00;;;4.00;;;;;;6.00
159;IBANEZ Alvaro;ESP;;;;0.00;0.00;2.00;;4.00;;;;;6.00
160;FLOREANI Fabrizio;ITA;;0.00;;0.00;;;2.00;4.00;;;;;6.00
161;GRIEBEL Thomas;GER;4.00;;;0.00;2.00;0.00;;;;;;;6.00
162;DOLAR Robin;SLO;0.00;;;0.00;0.00;;0.00;;;6.00;;0.00;6.00
163;CUBELLS Eduardo;ESP;;2.00;;0.00;2.00;0.00;;2.00;;;;;6.00
164;HARTMANN Florian;AUT;0.00;0.00;;2.00;0.00;2.00;;2.00;;;;;6.00
165;ADONAI Christopher;FRA;0.00;;;2.00;0.00;2.00;2.00;;;;;;6.00
166;ROSLANDER Kasper;FIN;0.00;0.00;;;;0.00;;2.00;;3.00;;;5.00
167;DIAS Artur;POR;;;;;;0.00;;2.00;;3.00;;;5.00
168;DOMINGUEZ Ricardo;MEX;;;;;;;;;;;;5.00;5.00
169;FARMER Alexander Bryan;SVK;0.00;;;2.00;;0.00;;;;3.00;;0.00;5.00
170;KIM Gihyeon;KOR;;;;;;;;;;;;5.00;5.00
171;LEE Jungham;KOR;;;;;;;;;;;;5.00;5.00
172;STOJANOVIC Filip;SRB;0.00;;;;;;;;;;;5.00;5.00
173;PHAM Hung Duong;VIE;;;;;;;;;;;;5.00;5.00
174;HUNTER Alexander;AUS;;;;;;;;;;;;5.00;5.00
175;MAISONET Hector;PUR;;;;;;;;;;;;5.00;5.00
176;MORATILLA Miguel;ESP;;;;;;;;4.00;;;;;4.00
176;KHALAFI Amir;IRI;;;4.00;;;;;;;;;;4.00
178;GHARAGYOZYAN Henrik;ARM;;;4.00;;;;;;;;;;4.00
179;MAGRO Andrea;ITA;0.00;0.00;;0.00;;;4.00;;;;;;4.00
180;WIEGELL Mathias;DEN;0.00;4.00;;0.00;;0.00;;;;;;;4.00
181;HEJAZI FAR Daryosh;IRI;;;4.00;;;;;;;;;;4.00
182;ARAZYAN Karen;ARM;;;4.00;;;;;;;;;;4.00
183;HADZIC Alen;USA;;0.00;;;4.00;;;;;;;;4.00
184;ILLE Ondrej;SVK;4.00;;;0.00;0.00;0.00;0.00;;;0.00;;;4.00
185;BEIK Behnam;IRI;;;4.00;;;;;;;;;;4.00
186;MOHAMMADINIA Esmaeil;IRI;;;4.00;;;;;;;;;;4.00
187;ROIG David;ESP;;;;;;0.00;;4.00;;;;;4.00
