RANK;ATHLETE;NATION;Luxembourg A;Bratislava A;Espoo Helsinki A;Teheran A;Lignano Sabbiadoro A;Bâle A;Goteborg A;Budapest A;Alger CHZ;Porec CHZ;Estado de Vargas CHZ;Moscow CHM;TOTAL
177;ARAZYAN Armen;ARM;;;;4.00;;;;;;;;;4.00
178;WEISS Lewis;USA;;;0.00;;;0.00;4.00;;;;;;4.00
179;SAFAR Cirill;HUN;;;;;0.00;;;4.00;;;;;4.00
180;BEIK Behnam;IRI;;;;4.00;;;;;;;;;4.00
181;BANYAI Zsombor;HUN;;4.00;;;0.00;;;0.00;;;;;4.00
182;NICKELS Alexeij;LUX;4.00;;;;;0.00;;;;;;;4.00
183;AHMED Dhahi;IRQ;;;;4.00;;;;;;;;0.00;4.00
184;GHARAGYOZYAN Henrik;ARM;;;;4.00;;;;;;;;0.00;4.00
185;KHOJOYAN Artur;ARM;;;;4.00;;;;;;;;;4.00
186;SAGHASAR Ramin;IRI;;;;4.00;;;;;;;;;4.00
186;CIMINI Gabriele;ITA;;;;;4.00;;;;;;;;4.00
188;TSUE Aoi;JPN;;;;;;;4.00;;;;;0.00;4.00
189;MAMMADOV Farid;AZE;;;;4.00;;;;;;;;;4.00
190;MAHARRAMOV Najaf;AZE;;;;4.00;;;;;;;;;4.00
191;CHEREPAKHOV Mykyta;UKR;;0.00;4.00;;0.00;;;0.00;;;;;4.00
192;BILANISHVILI Shalva;GEO;;;;4.00;;;;;;;;;4.00
193;KOCHARYAN Artur;ARM;;;;4.00;;;;;;;;;4.00
194;SHOJAEI Mohammad;IRI;;;;4.00;;;;;;;;;4.00
195;MOHAMMADNIA Esmaeil;IRI;;;;4.00;;;;;;;;;4.00
196;MICHON Alessandro;LBN;;;4.00;;0.00;;;;;;;;4.00
197;SADEGHIAN Alireza;IRI;;;;4.00;;;;;;;;;4.00
198;FREIMAN Benjamin;USA;;;4.00;;;0.00;0.00;;;;;;4.00
199;NOROZI Mahdi;IRI;;;;4.00;;;;;;;;;4.00
200;IBANEZ Alvaro;ESP;2.00;;;;0.00;2.00;0.00;0.00;;;;;4.00
201;IVANOV Kirill;RUS;;2.00;2.00;;;;;;;;;;4.00
202;GENTY Maximilien;FRA;;2.00;;;2.00;;0.00;;;;;;4.00
203;REGIBEAU Gaspard;BEL;2.00;0.00;0.00;;0.00;2.00;0.00;;;0.00;;;4.00
204;NORIS Amedeo;ITA;2.00;;0.00;;2.00;;;;;;;;4.00
205;HAXAIRE Pierre;FRA;;;;;2.00;;2.00;;;;;;4.00
206;HENDERSON Matt;GBR;;2.00;0.00;;0.00;2.00;0.00;;;;;;4.00
207;VESTERINEN Verneri;FIN;2.00;2.00;0.00;;0.00;0.00;0.00;;;0.00;;0.00;4.00
208;CANING Klaus Albert;DEN;;0.00;0.00;;;;0.00;0.00;;3.00;;;3.00
209;KOMAN Robert;SLO;0.00;0.00;;;0.00;0.00;;0.00;;3.00;;0.00;3.00
210;MUTSENIK Stanislav;EST;;0.00;0.00;;;;0.00;;;3.00;;0.00;3.00
211;STALDER Leonard;SUI;2.00;;;;;;;;;;;;2.00
211;OLEIWI Ali;IRQ;;;;2.00;;;;;;;;;2.00
213;SIDOROV Alexey;RUS;;0.00;2.00;;;;;;;;;;2.00
214;SEEVE Teemu;FIN;2.00;0.00;;;;;;;;;;;2.00
215;AAGENAES Haakon;NOR;;;;;;;2.00;;;;;;2.00
216;MURANA Luca;ITA;0.00;;2.00;;;;;;;;;;2.00
217;HAGLUND Andreas;SWE;;;0.00;;;;2.00;;;;;;2.00
218;KACHAN Volodymyr;UKR;;0.00;2.00;;0.00;;;;;;;;2.00
219;FINK Cedric;SUI;;;;;;2.00;;;;;;;2.00
220;VERHELLE Nicolas;BEL;2.00;0.00;0.00;;0.00;0.00;0.00;;;;;;2.00
221;PITTET Alexandre;SUI;;;;;;2.00;;;;;;;2.00
222;ROK Mateusz;POL;;0.00;0.00;;;;0.00;2.00;;;;;2.00
223;KARLSEN Knut Martin;NOR;;;;;;;2.00;;;;;;2.00
224;MANZANARES Guillen;ESP;;;0.00;;;2.00;;;;;;;2.00
225;VINNICKY Ariel;ISR;;;;;;;2.00;;;;;;2.00
226;KOESTER Logan;USA;;2.00;;;;0.00;;;;;;;2.00
227;WILEY Joseph;USA;;0.00;2.00;;;;;;;;;;2.00
228;GIACOPINI Achille;SUI;2.00;0.00;;;;;;;;;;;2.00
229;GONZALEZ ALMARCHA Sergio;ESP;2.00;;;;;;;;;;;;2.00
230;WALKER Alec;USA;;;0.00;;;2.00;;;;;;;2.00
231;JEREMIAS Joao;POR;2.00;0.00;;;;;0.00;0.00;;0.00;;;2.00
232;JARL Henrik;SWE;;2.00;0.00;;;;0.00;;;;;;2.00
233;KITAMURA Naoyuki;JPN;;;;;;;2.00;;;;;0.00;2.00
234;ELKORD Houssam;MAR;;;;;;;;2.00;;;;;2.00
235;KAPRAL Martin;SVK;;0.00;;;;;;2.00;;;;;2.00
236;GRIEBEL Thomas;GER;2.00;;;;;;;;;;;;2.00
236;VEUTHEY Alvaro;ESP;;;2.00;;;;;;;;;;2.00
236;TRIVELLI Sergio;ITA;;;;;2.00;;;;;;;;2.00
239;MAREND Alexander;SWE;;0.00;2.00;;;;0.00;;;;;;2.00
240;RADELET Kevin;BEL;2.00;0.00;0.00;;0.00;0.00;0.00;;;;;;2.00
241;HAGLUND Daniel;SWE;;0.00;2.00;;;;0.00;;;0.00;;;2.00
242;DURAN Jaime;ESP;2.00;;;;0.00;;0.00;;;;;;2.00
243;DOLEJSI Marek;CZE;2.00;0.00;;;;0.00;;0.00;;;;;2.00
244;VENCOVSKY Pavel;SVK;;2.00;;;0.00;;;;;;;;2.00
245;PUJU Robin;HUN;;;;;;;;2.00;;;;;2.00
246;SANCHEZ-LETHEM Paul James;GBR;;0.00;;;0.00;0.00;2.00;;;;;;2.00
247;GUSEV Dmitriy;RUS;;;;;;;;2.00;;;;;2.00
247;ROMERO Juan Pedro;ESP;;;2.00;;;;;;;;;;2.00
249;CRECCHI Bernardo;ITA;;2.00;;;0.00;;;;;;;;2.00
250;SINATRA Giacomo;ITA;;;2.00;;;;;;;;;;2.00
251;DI BELLA Federico;ITA;;0.00;;;0.00;2.00;;;;;;;2.00
252;FAJKIS Krystian;POL;;0.00;2.00;;;;0.00;0.00;;;;;2.00
253;LAUPER Samuel;SUI;;0.00;2.00;;0.00;;;;;;;;2.00
254;SORTINO Simone;ITA;;;;;2.00;;0.00;;;;;;2.00
255;LOVASZ Adam;HUN;;0.00;;;;;;2.00;;;;;2.00
256;BUERGER Fabian;GER;2.00;0.00;;;;;;;;;;;2.00
257;RAYNIS Jake;USA;;2.00;;;;0.00;;;;;;;2.00
258;SIEBER Armand;SUI;0.00;0.00;2.00;;0.00;0.00;;0.00;;;;;2.00
259;MIGALLON Guillermo;ESP;0.00;;2.00;;0.00;;0.00;0.00;;0.00;;;2.00
260;GREMION Robin;SUI;;0.00;2.00;;0.00;0.00;0.00;;;;;;2.00
261;SZABO Bence;HUN;;;;;;;;2.00;;;;;2.00
262;HUTTUNEN Pontus;FIN;2.00;0.00;0.00;;0.00;0.00;0.00;;;0.00;;;2.00
263;DELARUE-BIZZINI Bernardo;BRA;;;0.00;;2.00;0.00;0.00;;;;;;2.00
264;MAMRENKO Alexey;RUS;;0.00;;;;2.00;;;;;;;2.00
265;LEHIS Margo;EST;;0.00;0.00;;;;2.00;0.00;;0.00;;;2.00
266;RICHTER Arne;GER;;2.00;;;0.00;0.00;0.00;0.00;;;;;2.00
267;HAIT Jonatan;ISR;;;2.00;;0.00;;0.00;;;0.00;;;2.00
268;KOSAKA Issei;JPN;;;;;;;2.00;;;;;;2.00
269;KORLATH Alexander;AUT;0.00;0.00;;;0.00;0.00;2.00;;;;;;2.00
270;GUILHEM Romain;FRA;;;;;2.00;;0.00;;;;;;2.00
271;MALCOTTI Lucas;SUI;;;;;;2.00;;;;;;;2.00
272;MICKWITZ Valter;FIN;;;2.00;;;;0.00;;;;;;2.00
273;BUCHHOLZ Lars;GER;2.00;;;;;;;;;;;;2.00
274;BEZLI Nacer;ALG;;;;;;;;;0.00;;;;0.00
275;NAHI Omar;MAR;;;;;;;;;0.00;;;;0.00
276;MORALES BIDO David David;DOM;;;;;;;;;;;0.00;;0.00
277;NIEVES COLON Luis A.;PUR;;;;;;;;;;;0.00;;0.00
278;TORRES SANDI Daniel;CRC;;;;;;;;;;;0.00;0.00;0.00
279;REYEZ Manuel;COL;;;;;;;;;;;0.00;;0.00
280;NICKEL Heinz;CHI;;;;;;;;;;;0.00;0.00;0.00
281;WISAM Oleiwi;IRQ;;;;0.00;;;;;;;;;0.00
282;AZIZPOUR Hesam;IRI;;;;0.00;;;;;;;;;0.00
283;YOUSEFI Ali;IRI;;;;0.00;;;;;;;;;0.00
284;ATYAN Edgar;ARM;;;;0.00;;;;;;;;;0.00
285;SALMAN Alialjasad;IRQ;;;;0.00;;;;;;;;;0.00
286;RAMEZANI Saeid;IRI;;;;0.00;;;;;;;;;0.00
287;ABRAHAMYAN Rafik;ARM;;;;0.00;;;;;;;;;0.00
288;MIKAYELYAN Mikayel;ARM;;;;0.00;;;;;;;;;0.00
289;KARAPETYAN Edgar;ARM;;;;0.00;;;;;;;;;0.00
290;DIAS Artur;POR;0.00;0.00;0.00;;;;;;;0.00;;0.00;0.00
291;KATHAN Leonard;AUT;0.00;;0.00;;0.00;0.00;0.00;;;;;;0.00
292;STOJANOVIC Filip;SRB;;0.00;;;;;;0.00;;0.00;;;0.00
293;ZOCHR Ladislav;CZE;0.00;0.00;;;;0.00;;;;;;;0.00
294;BELLEMANS Julian;BEL;0.00;;;;;0.00;;;;;;;0.00
295;TANG Oskar;SWE;;0.00;0.00;;;;0.00;;;;;;0.00
296;EDWARDS Thomas;GBR;;0.00;;;0.00;0.00;0.00;;;;;;0.00
297;KIM Gihyeon;KOR;;;;;;;;;;;;0.00;0.00
298;REGINSTER Gregoire;BEL;0.00;0.00;;;0.00;0.00;0.00;;;;;;0.00
299;TARANENKO Yuriy;UKR;;;0.00;;;;0.00;0.00;;;;;0.00
300;BERRY Joffrey;FRA;;;;;;;;0.00;;;;;0.00
301;MAYER Maximilian;AUT;0.00;;0.00;;0.00;0.00;;;;;;;0.00
302;LEPERS Leo;FRA;;0.00;;;;;;;;;;;0.00
303;MILIC Milos;SRB;;;;;;;;0.00;;0.00;;;0.00
304;WIEGELL Mathias;DEN;;;0.00;;;;0.00;;;;;;0.00
305;MURRAY RAMIREZ Froylan Emanuel;NCA;;;;;;;;;;;;0.00;0.00
305;HUSSON Geoffroy;BEL;0.00;;;;;;;;;;;;0.00
307;MUELLER NIELABA Gabriel;SUI;;;;;;0.00;;;;;;;0.00
308;FRAPPIER Dominique;LUX;0.00;;;;;0.00;;;;;;;0.00
309;YAKOVLEV Filipp;UZB;;;;;;;;;;;;0.00;0.00
