RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Thessaloniki A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Toronto CHZ;Maribor CHZ;Alger CHZ;Abu Dhabi CHZ;Tashkent CHM;TOTAL
366;KARUNANAYAKA Chathuka;SRI;;;;;;;;;;;;0.00;;0.00
367;DI COSTE Matteo;ITA;;;;;0.00;;;0.00;;;;;;0.00
368;BAYRAMSAHEDOV Kerven;TKM;;;;;;;;;;;;0.00;0.00;0.00
369;VARGA Peter;CZE;0.00;;;;0.00;0.00;;;;;;;;0.00
370;MATIC Luka;CRO;;;;;;;;0.00;;0.00;;;;0.00
371;ZHU Haiyu;CHN;;;;;;;;;;;;;0.00;0.00
371;MATTSSON Oliver;FIN;;;;;;;0.00;;;;;;;0.00
371;ALMUTERY Ahmed Zeyad;KUW;;0.00;;;;;;;;;;;;0.00
374;GAECHTER Flurin;SUI;0.00;;0.00;;;0.00;;;;;;;;0.00
375;ALMUWALLAD Waleed;KSA;;0.00;;;;;;;;;;;;0.00
376;KARPUZCU Ahmet Emin;TUR;;;0.00;;;;;;;;;;;0.00
376;KARAM Ali Bader;KUW;;0.00;;;;;;;;;;;;0.00
378;CAUDO Domenico;ITA;;;;;0.00;;;0.00;;;;;;0.00
379;HWANG Hyeonil;KOR;;;;;;;;;;;;;0.00;0.00
379;AL-HAJRI Turki;KUW;;0.00;;;;;;;;;;;;0.00
381;DVARISKIS Edgaras;LTU;;;;;0.00;;0.00;;;0.00;;;0.00;0.00
382;PLAJER David;GER;0.00;;;;0.00;0.00;0.00;;;;;;;0.00
383;ALBALUSHI Abdulla;BRN;;0.00;;;;;;;;;;;;0.00
384;CALUWAERTS Ruben;BEL;0.00;;0.00;;;0.00;;;;;;;;0.00
