RANK;ATHLETE;NATION;Luxembourg A;Kuweit City A;Turku A;San Salvador A;Bratislava A;Bâle A;Riga A;Udine A;Dammam CHZ;Cancun CHZ;Novi Sad CHZ;Bamako CHZ;Bourges CHM;TOTAL
149;NILSSON Erik;SWE;;;2.00;;0.00;4.00;;;;;3.00;;;9.00
150;WALTER Noe;GER;4.00;;;;1.00;0.00;2.00;2.00;;;;;;9.00
151;CHEN Zhaohao;CHN;;;;;;;;;6.00;;;;2.50;8.50
152;MAITA Manuel;VEN;;;;;;;;;;6.00;;;2.50;8.50
153;HUZAYEN Mohamed;EGY;;8.00;;;0.00;;;0.00;;;;;;8.00
154;JAIME Esteban Camilo;COL;;;;8.00;;;;;;;;;0.00;8.00
155;ROJAS CRUZ Vicente Antonio;NCA;;;;8.00;;;;;;;;;;8.00
156;POULIQUEN Nicolas;CAN;;;;8.00;;;;;;;;;;8.00
157;LOPEZ GONZALEZ Keven Steven;NCA;;;;8.00;;;;;;;;;;8.00
158;VINKOVIC Goran;CRO;;;;8.00;0.00;;;0.00;;;0.00;;;8.00
159;GIRON Bruno;PER;;;;8.00;;;;;;;;;0.00;8.00
160;NAGY David;HUN;;;4.00;;4.00;0.00;;;;;;;;8.00
161;ALDOSSARI Abdullah K;KSA;;2.00;0.00;;;0.00;;;6.00;;;;0.00;8.00
162;STYMNE Jakob;SWE;;;4.00;;0.00;2.00;;;;;1.50;;;7.50
163;OLSEN Johannes Kristian;DEN;2.00;4.00;0.00;;0.00;;;0.00;;;1.50;;0.00;7.50
164;PIZENBERG Jacob;ISR;;;;;;2.00;;;;;3.00;;2.50;7.50
165;MAKHONIN Oleksiy;UKR;;;;;0.00;0.00;4.00;;;;3.00;;0.00;7.00
166;GEDZO Andzej;EST;;;0.00;;0.00;;4.00;;;;3.00;;;7.00
167;FERRE Loup-Yann;CAN;;;;;;1.00;;;;6.00;;;;7.00
168;TRIVELLI Sergio;ITA;4.00;;;;;2.00;;1.00;;;;;;7.00
169;KIS Mate;HUN;;;2.00;;0.00;1.00;;4.00;;;;;;7.00
170;BONFERRONI Gabriel;SUI;1.00;;2.00;;0.00;2.00;2.00;0.00;;;;;;7.00
171;MARCOL Daniel;POL;2.00;;1.00;;0.00;2.00;;2.00;;;;;;7.00
172;PECK Harry;MLT;2.00;;1.00;;2.00;2.00;;;;;;;;7.00
173;ELIASSEN Ferdinand;NOR;;;0.00;;1.00;;2.00;1.00;;;3.00;;0.00;7.00
174;KARPOV Viacheslav;BLR;;;2.00;;0.00;;2.00;;;;3.00;;;7.00
175;VASARAUDZIS Egils;LAT;;;;;;;2.00;;;;;;5.00;7.00
176;GUSAROV Klim;EST;2.00;;2.00;;0.00;0.00;1.00;;;;1.50;;;6.50
177;LOZANO Michael;COL;;;;;0.00;0.00;;;;6.00;;;;6.00
178;JOSE Noelito;PHI;;;;;;;;;6.00;;;;0.00;6.00
179;LIZARRAGA Juan Carlos;MEX;;;;;;;;;;6.00;;;0.00;6.00
180;KHAMIS Hamad;BRN;;;;;;;;;6.00;;;;;6.00
181;ORELLAN Fernando;MEX;;;;;;;;;;6.00;;;;6.00
181;KIM Jaegwan;KOR;;;;;;;;;6.00;;;;;6.00
183;TSAI Ching Chang;TPE;;;;;;;;;6.00;;;;;6.00
184;QUIROS Jose;PAN;;;;0.00;;;;;;6.00;;;0.00;6.00
185;NURMATOV Javokhirbek;UZB;;;;;;;;;6.00;;;;;6.00
186;BERG Mads Peter;DEN;;4.00;;;;;2.00;;;;;;0.00;6.00
187;ALVAREZ ROLON Manuel;PUR;;;;;;;;;;6.00;;;;6.00
188;TAN Weixuan;SGP;;;;;;;;;6.00;;;;;6.00
189;GOMEZ MENDEZ Santiago Andres;COL;;;;;;;;;;6.00;;;;6.00
189;JUENG-AMNUAYCHAI Korakote;THA;;;;;;;;;6.00;;;;;6.00
191;MIRANDA Jax;DOM;;;;;;;;;;6.00;;;;6.00
192;FARKAS Csaba;HUN;;;1.00;;;1.00;;4.00;;;;;;6.00
193;AJNSZTAJN Alec;BRA;;;;;;;;;;6.00;;;;6.00
193;HAHM Jungjun;KOR;;;;;;;;;6.00;;;;;6.00
195;PICOLOMINI Rafael;BOL;;;;;;;;;;6.00;;;;6.00
195;SINGH Oinam Victor;IND;;;;;;;;;6.00;;;;;6.00
197;RIVERA SANTIAGO Freddie;PUR;;;;;;;;;;6.00;;;;6.00
198;MCGLADE Daniel;GBR;2.00;;4.00;;0.00;0.00;;0.00;;;0.00;;;6.00
199;CHASSEUR Eugenio;ITA;;;2.00;;;;4.00;;;;;;;6.00
200;AL SULAITI Ali;QAT;;;;;;;;;6.00;;;;0.00;6.00
