RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Guatemala CHZ;Jerusalem CHZ;Le Caire CHZ;Amman CHZ;Plovdiv CHM;TOTAL
212;ANDREU ALMANSA Marc;ESP;;;;;;0.00;;4.00;;;;;;4.00
213;POTAPENKO Denis;UKR;;4.00;;;0.00;;0.00;0.00;;;;;;4.00
214;KARPUZCU Ahmet Emin;TUR;;;;4.00;;;;;;;;;;4.00
215;BREMS Alexander;DEN;;0.00;;4.00;;;0.00;;;0.00;;;0.00;4.00
216;SZABO Tamas;HUN;;;;;;;;4.00;;;;;;4.00
217;BUTA Levente;HUN;;0.00;;;;0.00;;4.00;;;;;;4.00
218;HUDSON Jack;GBR;;;4.00;;;;;;;;;;;4.00
218;NOROUZI Meysam;IRI;;;;4.00;;;;;;;;;;4.00
220;HANAHAN Nicholas;USA;;;4.00;;;;0.00;;;;;;;4.00
221;NAGY Attila;HUN;;;;;0.00;4.00;;;;;;;;4.00
222;GOKBULUT Orkun;TUR;;;;4.00;;;;;;;;;;4.00
223;MIKAELIAN Mikael;GEO;;4.00;;;;;;;;0.00;;;0.00;4.00
224;CANDIDA DE MATTEO Alberto;ITA;;0.00;;;4.00;;0.00;;;;;;;4.00
225;KOCHARYAN Artur;ARM;;;;4.00;;;;;;;;;0.00;4.00
226;MAMRENKO Alexey;RUS;;4.00;0.00;;;;;;;;;;;4.00
227;PRISTERA Mattia;ITA;;;0.00;;0.00;4.00;;;;;;;;4.00
228;HAIT Jonatan;ISR;;4.00;;;;;0.00;;;;;;;4.00
229;NAGY David;HUN;;;;;;;;4.00;;;;;;4.00
230;GUSSONI Alessandro;ITA;;;4.00;;0.00;0.00;;;;;;;;4.00
231;ESZTERGALYOS Patrik;HUN;;0.00;;;;4.00;;0.00;;;;;;4.00
232;PAOLI Stefano;SUI;;4.00;0.00;;;;;;;;;;;4.00
233;AMANN Spencer;USA;;;;;4.00;;;;;;;;;4.00
234;WALTER Noe;GER;;;;;;;4.00;;;0.00;;;;4.00
235;SIMSEK Ismail Ege;TUR;;;;4.00;0.00;;;0.00;;;;;;4.00
236;KAIBULAIEV Daniil;UKR;;0.00;;;;;;4.00;;;;;;4.00
237;MOHSIN Abbas Abdulwahid;IRQ;;;;4.00;;;;;;;;;;4.00
238;BARGUES Manuel;ESP;;0.00;;;0.00;2.00;2.00;0.00;;;;;;4.00
239;BARIONOVI Riccardo;ITA;;;;;2.00;0.00;2.00;;;;;;;4.00
240;METRAILLER Clement;SUI;;;;;2.00;2.00;0.00;;;;;;;4.00
241;BRINKMANN Marco;GER;;2.00;;;0.00;2.00;0.00;0.00;;;;;;4.00
242;ZORZATO Daniele;SUI;;0.00;2.00;;0.00;0.00;;2.00;;;;;;4.00
243;BAEKELANDT Maxime;BEL;;0.00;0.00;;2.00;0.00;2.00;0.00;;0.00;;;0.00;4.00
244;RAPP Guillaume;SUI;;0.00;2.00;;0.00;2.00;;0.00;;;;;;4.00
245;VERVOITTE Louis;FRA;;;;;2.00;0.00;2.00;;;;;;;4.00
246;CHAN Tsun Long Arthur;HKG;;;;;;;;;;;;3.00;;3.00
247;FUJIKURA Riku;JPN;;;;;0.00;;0.00;;;;;3.00;0.00;3.00
248;NIGHTINGALE Lucian;NZL;;;;;;;;;;;;3.00;0.00;3.00
249;ALDOSSARI Abdullah K;KSA;;;;;;;;;;;;3.00;0.00;3.00
250;AL-DOSARI Mohammed;QAT;;;;;;;;;;;;3.00;;3.00
251;LAPPALAINEN Pauli;FIN;;;0.00;;;;;;;3.00;;;;3.00
252;VARGA Peter;CZE;;0.00;;;0.00;0.00;;0.00;;3.00;;;;3.00
253;MINKEVICIUS Lukas;LTU;;0.00;;;;;;;;3.00;;;0.00;3.00
254;DUBOUSKI Pavel;BLR;;;;;;;;;;3.00;;;0.00;3.00
255;NILSSON Erik;SWE;;;0.00;;;;0.00;;;3.00;;;;3.00
256;GAARDSTED Viktor Emil;DEN;;0.00;0.00;2.00;;;0.00;0.00;;0.00;;;0.00;2.00
257;PIRVULEASA Ovidiu;ROU;;0.00;;;;;;2.00;;;;;0.00;2.00
258;AL SHAMMARI Hamad;QAT;;;;2.00;;;;;;;;;;2.00
259;SZLAMA Patryk;POL;;0.00;;;;0.00;0.00;2.00;;;;;;2.00
260;ETEMADI Matin;IRI;;;;2.00;;;;;;;;;;2.00
260;LEONE Alberto;ITA;;;;;;;2.00;;;;;;;2.00
262;ATYAT Mohammad;JOR;;;;2.00;;;;;;;;;;2.00
262;MAURICE Quentin;FRA;;;;;;;2.00;;;;;;;2.00
264;HOVHANNESYAN Maykl;ARM;;;;2.00;;;;;;;;;;2.00
265;HASHEMI Pouria;IRI;;;;2.00;;;;;;;;;;2.00
266;HORETSKYY Ivan;UKR;;2.00;;;0.00;;0.00;0.00;;;;;;2.00
267;VOSOUGHI Mohammadreza;IRI;;;;2.00;;;;;;;;;;2.00
268;HORVATH Daniel;HUN;;2.00;;;;0.00;;0.00;;;;;;2.00
