RANK;ATHLETE;NATION;Luxembourg A;Manama A;Riga A;San Salvador A;Bratislava A;Bâle A;Espoo Helsinki A;Udine A;La Havane CHZ;Korat CHZ;Plovdiv CHZ;Yamoussoukro CHZ;Plovdiv CHM;TOTAL
183;DELHOMME Martin;FRA;;;2.00;;2.00;2.00;1.00;;;;;;;7.00
184;HAZES Luuk;NOR;1.00;;0.00;;;;0.00;1.00;;;;;5.00;7.00
185;JORDAN Rene;GER;1.00;;2.00;;2.00;0.00;1.00;1.00;;;;;;7.00
186;EL CHOUEIRY Antoine;LBN;;4.00;;;0.00;;;;;;;;2.50;6.50
187;CRUZ Joao Rodrigo;POR;;;;;;;;;;;1.50;;5.00;6.50
188;CROOK Lachlan;AUS;;;;;;;1.00;;;3.00;;;2.50;6.50
189;KOZHIN Nazar;UKR;;;;;;;;1.00;;;3.00;;2.50;6.50
190;GARCIA Juan Pablo;CHI;;;;;;;;0.00;6.00;;;;;6.00
191;KAWAKITA Shinkai;JPN;;;2.00;;;;4.00;;;;;;;6.00
192;VOSOUGHI Mohammadreza;IRI;;;;;;;;;;6.00;;;;6.00
192;FEBLES PERES Mario Barbaro;CUB;;;;;;;;;6.00;;;;;6.00
194;LEE Samuel;SGP;;;;;;;;;;6.00;;;0.00;6.00
195;MORALES LOYOLA Yunior Antonio;CUB;;;;;;;;;6.00;;;;;6.00
196;MUSTELIER HILTON Julio Cesar;CUB;;;;;;;;;6.00;;;;;6.00
197;SULEIMENOV Alibek;KAZ;;;;;;;;;;6.00;;;0.00;6.00
198;AGAMEZ LONDONO Stahelyn Jose;COL;;;;;;;;;6.00;;;;;6.00
199;JURADO SOSSA Santiago;COL;;;;;;;0.00;;6.00;;;;0.00;6.00
200;AXENOV Svyatoslav;KAZ;;;;;;;;;;6.00;;;;6.00
200;SANUDO Carlos;MEX;;;;;;;;;6.00;;;;;6.00
202;ENGLISH Alexander;AUS;;;;;;;;;;6.00;;;0.00;6.00
203;DJATSUK Filipp;EST;;;0.00;;;;0.00;;;;6.00;;;6.00
204;TALAMANTES Fernando;MEX;;;;;;;;;6.00;;;;0.00;6.00
205;DANG Tuan Anh;VIE;;;;;;;;;;6.00;;;;6.00
206;BUSTOS Joaquin;CHI;;;;;;;;0.00;6.00;;;;0.00;6.00
207;SINGH Tanishvir;IND;;;;;;;;;;6.00;;;;6.00
208;JAIME Esteban Camilo;COL;;;;;;;;;6.00;;;;;6.00
209;SOBIROV Sanjarbek;UZB;;;;;;;;;;6.00;;;;6.00
210;FERNANDEZ PEREZ Javier;ESP;;;;;;;;0.00;;;6.00;;;6.00
211;CHANG Yu Chen;TPE;;;;;;;;;;6.00;;;;6.00
212;CZIRAKI Balint;HUN;;;0.00;;2.00;2.00;;2.00;;;;;;6.00
213;BERKEL Dominik;GER;1.00;;0.00;;2.00;0.00;2.00;1.00;;;;;;6.00
214;HOCH Andre;GER;;;0.00;;2.00;2.00;1.00;1.00;;;;;;6.00
215;DUBOUSKI Pavel;BLR;;;1.00;;2.00;;;;;;3.00;;;6.00
216;KOPRA Henri;EST;;;1.00;;;0.00;0.00;;;;;;5.00;6.00
217;ROUDBAR Samuel;BEL;0.00;4.00;0.00;;0.00;0.00;0.00;0.00;;;1.50;;;5.50
218;ALEXANDERSEN Nicolaj;DEN;0.00;4.00;0.00;;0.00;0.00;0.00;;;;1.50;;0.00;5.50
219;SVENSSON Jonathan;SWE;;;;;4.00;;;;;;1.50;;;5.50
220;LAW Shiu Chung;HKG;;;;;;;;;;3.00;;;2.50;5.50
221;HAYES Isaac;AUS;;;;;;;0.00;;;3.00;;;2.50;5.50
222;SVYSTIL Vitaliy;UKR;;;;;0.00;;;0.00;;;3.00;;2.50;5.50
223;JURKA Tomas;CZE;1.00;;0.00;;0.00;2.00;1.00;0.00;;;1.50;;;5.50
224;ALFHEIM Fabian;NOR;;;0.00;;;0.00;0.00;;;;3.00;;2.50;5.50
225;JUENG-AMNUAYCHAI Korakote;THA;;;;;;;;;;3.00;;;2.50;5.50
226;PHILIPPE Arthur;FRA;1.00;;0.00;;0.00;4.00;0.00;;;;;;;5.00
227;KONDRING Philipp;GER;;;4.00;;1.00;0.00;0.00;;;;;;;5.00
228;NIETO Guillermo;ESP;;;;;;0.00;4.00;1.00;;;0.00;;;5.00
229;AL-MALIKI Hasan;IRQ;;2.00;;;;;;;;3.00;;;;5.00
230;AL-CHAABAWI Zaid;IRQ;;2.00;;;;;;;;3.00;;;;5.00
231;ALOMIRI Sultan;KSA;;2.00;;;;;;;;3.00;;;;5.00
232;LUSTI Hannes;SUI;2.00;;0.00;;0.00;0.00;1.00;2.00;;;;;;5.00
233;BENDE Bence;HUN;;;;;2.00;1.00;;2.00;;;;;;5.00
234;KOLANCZYK Wojciech;POL;2.00;;0.00;;1.00;2.00;0.00;;;;;;;5.00
235;ZHU Haiyu;CHN;;;;;;;;;;;;;5.00;5.00
236;ABDOU El Habib Omar;FRA;2.00;;0.00;;2.00;1.00;;;;;;;;5.00
