RANK;ATHLETE;NATION;San Salvador A;Bratislava A;Espoo Helsinki A;Teheran A;Udine A;Bâle A;Göteborg A;Budapest A;Ponce CHZ;Budapest CHZ;Porec CHM;TOTAL
219;VAEZ Ali;IRI;;;;2.00;;;;;;;;2.00
221;KOCHARYAN Artur;ARM;;;;2.00;;;;;;;;2.00
222;SVORAB Aliaksandr;BLR;;;2.00;;;;;;;;;2.00
222;BALAOGHLANOV Aslan;AZE;;;;2.00;;;;;;;;2.00
224;CORBION Meeidhy;FRA;;;;;;2.00;0.00;;;;;2.00
225;DABABNEH Abdallah;JOR;;;;2.00;;;;;;;;2.00
226;RASHEED Alvaro;ESP;;0.00;0.00;;;2.00;0.00;;;;;2.00
227;TALLAR Akos;HUN;;0.00;;;0.00;;;2.00;;;;2.00
228;WAN Justin;USA;;;;;2.00;;;;;;;2.00
228;VYAZIGIN Stepan;KAZ;;;;2.00;;;;;;;;2.00
228;YOO Justin;USA;;;;;;;2.00;;;;;2.00
231;AL SHAMARI Mohammed;QAT;;;;2.00;;;;;;;;2.00
231;BAYARD Alexis;SUI;;;;;;2.00;;;;;;2.00
231;TOOTHAKER Tycho;USA;;;2.00;;;;;;;;;2.00
234;FEMENIAS-METIVET Clement;CAN;;;;;;;2.00;0.00;;;;2.00
235;MAMMADOV Farid;AZE;;;;2.00;;;;;;;;2.00
236;KRUK Tomasz;POL;;0.00;0.00;;;0.00;0.00;2.00;;;;2.00
237;LUCANI Quentin;FRA;;;;;;;2.00;;;;;2.00
237;KELLERMAN Alexandr;KAZ;;;;2.00;;;;;;;;2.00
239;D'AMICO Kristian;CZE;;;;;;;;2.00;;0.00;;2.00
240;ABRAHAMYAN Rafik;ARM;;;;2.00;;;;;;;;2.00
241;NUOTIO Tatu;FIN;;2.00;0.00;;;0.00;0.00;;;;;2.00
242;CLOT Nicolas;FRA;;0.00;;;;2.00;0.00;;;;;2.00
243;HUTCHINSON Kerr;CAN;;;0.00;;;;2.00;;;;;2.00
244;HUDEK David;HUN;;;;;;;;2.00;;;;2.00
245;HELGEGREN Rikard;SWE;;2.00;;;;;0.00;;;;;2.00
246;SPITSYN Illia;UKR;;;;;2.00;;0.00;;;;;2.00
247;MOROV Jonathan;BUL;;2.00;;;;;;;;;0.00;2.00
248;EGELUND Alexander S.;DEN;;;;;;;2.00;;;;;2.00
248;COLOMA Manuel;ESP;;;;;;2.00;;;;;;2.00
250;FREWIN James;GBR;;2.00;;;;;0.00;;;;;2.00
251;BUNDALO Ivan;SRB;;0.00;;;2.00;;;;;0.00;0.00;2.00
252;JOKINEN Simon;SWE;;;0.00;;;;2.00;;;0.00;;2.00
253;KUVSHINOV Maxim;RUS;;0.00;2.00;;;;;;;;;2.00
254;RUBTSOV Danila;RUS;;;;;;;;2.00;;;;2.00
255;GUINAN Joseph;USA;;;;;0.00;;2.00;;;;;2.00
256;ANDERSSON Mans;SWE;;0.00;2.00;;;;0.00;;;0.00;;2.00
257;GLUHIC Gal;SLO;;2.00;;;0.00;0.00;;;;0.00;0.00;2.00
258;ANDREYUK Nazariy;UKR;;0.00;0.00;;0.00;;2.00;0.00;;;;2.00
259;MANGOLD Simon;GER;;2.00;;;0.00;0.00;0.00;;;;;2.00
260;VILLANI Demetrio;ITA;;;0.00;;2.00;;;;;;;2.00
261;KAIBULAIEV Daniil;UKR;;0.00;;;;;;2.00;;;;2.00
