RANK;ATHLETE;NATION;San Salvador A;San-Juan A;Luxembourg A;Burgos A;Udine A;Maalot A;Bratislava A;Dijon A;Alger CHZ;Foggia CHZ;Bogota CHZ;Amman CHZ;TORUN CHM;TOTAL
166;RODRIGUEZ Natalia;GUA;8.00;;;;;;;;;;;;;8.00
166;MIERCZUK Tessa;CAN;;8.00;;;;;;;;;;;;8.00
168;RAMIREZ GUEVARA Dayanna Graciela;ESA;8.00;;;;;;;;;;0.00;;;8.00
169;TAKAHASHI Rie;JPN;;8.00;;;;;;;;;;;;8.00
170;HISASUE Shiori;JPN;;;;8.00;;;;;;;;;;8.00
170;MADRID HERNANDEZ Jennifer Elena;ESA;8.00;;;;;;;;;;;;;8.00
172;CURTO Gaia;ITA;;;4.00;;4.00;;;;;;;;;8.00
173;KECMAN Milica;SRB;;;;;0.50;;0.25;;;6.00;;;1.25;8.00
174;LAY RIVERA Xiany Xiu;PUR;;2.00;;;;;;;;;6.00;;;8.00
175;MASALO Olivija;LTU;;;2.00;;;;1.00;;;0.00;;;5.00;8.00
176;GRIJAK Marta;SRB;;;;;2.00;;0.25;;;3.00;;;2.50;7.75
177;GRABHER Antonia;AUT;;;0.00;4.00;0.00;;0.50;0.50;;0.00;;;2.50;7.50
178;BOOY Tamara;CAN;;;1.00;;;;0.00;;;;6.00;;;7.00
179;GARNERI Elodie;FRA;;;2.00;;1.00;4.00;;;;;;;;7.00
180;MAZUR Yeva;UKR;;;;2.00;2.00;;1.00;2.00;;;;;;7.00
181;MIKHALEVICH Anhelina;BLR;;;;;;;4.00;;;;;;2.50;6.50
182;ANDREYEVA Vladislava;KAZ;;;1.00;;;;0.50;2.00;;;;3.00;;6.50
183;PIVETEAU Anne-Clemence;SUI;;;1.00;0.50;2.00;;1.00;2.00;;;;;;6.50
184;CHOU Jou Chun;TPE;;;;0.25;;;;;;;;6.00;;6.25
185;BRILLA ARAYA Anghella;CRC;0.00;;;;;;;;;;6.00;;;6.00
186;AMOUGOU Marcelle;CMR;;;;;;;;;6.00;;;;0.00;6.00
187;NUSA VASQUEZ Maria Del Mar;COL;;;;;;;;;;;6.00;;;6.00
188;SALAMEH Nai;LBN;;;;;;;;;;;;6.00;;6.00
188;TRIANA CEBALLOS Valentina;COL;;;;;;;;;;;6.00;;;6.00
190;ARROYO NEGRON Yeileann M.;PUR;;0.00;;;;;;;;;6.00;;;6.00
191;MANSI Dina;JOR;;;;;;;;;;;;6.00;;6.00
191;DOMINGUEZ Karen;MEX;;;;;;;;;;;6.00;;;6.00
193;LEUNG Kay Sze Karina;HKG;;;;;;;;;;;;6.00;0.00;6.00
194;FARIAS Clarismar;VEN;;;;;;;;;;;6.00;;;6.00
195;PELLICIER TORRES Adriana M.;PUR;;0.00;;;;;;;;;6.00;;;6.00
